QUEST_LV_0200_20150317_000001	Солдат Филиппа	필리파스 직속 부대원
QUEST_LV_0200_20151001_009278	Цепь реверсии - это чудо, соединяющее каждую границу чего-либо…{nl}Хауберк, вероятно, хочет использовать Цепь реверсии, чтобы объединить свой дух вместе.{nl}	환원의 사슬은 모든 것의 경계를 잇거나 도로 환원시킬수 있는 신기..{nl}하우벅은 환원의 사슬을 이용하여 자신의 영혼을 이어붙일 생각겠지요.{nl}	QUEST_LV_0200_20150401_005803	The power that he took away from Dionys is called the chain of revivification.{nl}He was planning to close the space of the metastasis using that chain and the spirit of Hauberk.{nl}	그가 디오니스에게서 가지고 도망친 힘은 환원의 사슬이라 불리는 것입니다.{nl}그 사슬과 하우벅의 영혼을 이용하여 전이 틈새를 닫을 계획이였지요.{nl}	여신 바카리네
QUEST_LV_0200_20151001_009279	Однако Хауберк тоже является ключом к закрытию пространственной трещины.{nl}Причина, по которой я оставил его таким, каким он был, заключалась в том, чтобы накапливать энергию для функций ключа.{nl}	하지만 하우벅 또한 그 또한 전이 틈새를 닫을 열쇠입니다.{nl}제가 그를 가만히 내버려 둔 건 그가 열쇠의 역할을 수행할 수 있도록 힘을 비축하기 위함이었지요.{nl}	QUEST_LV_0200_20150414_006661	You are still here, so it isn't late yet. {nl}The 4th Area he ran to is like a maze. Daiva can easily chase him.	아직 그대가 있기에, 늦지 않았습니다.{nl}그가 도망친 4구역은 미로와도 같은 곳. 다이바라면 능히 그를 쫓을 수 있습니다.	여신 바카리네
QUEST_LV_0200_20151001_009280	Хауберк еще не накопил весь свой дух, так что противостоять ему будет несложно.{nl}Поймайте его снова и закройте межпространственную трещину Цепью реверсии.{nl}	하우벅은 아직 자신의 영혼을 모두 모으지 못했기 때문에 그대에겐 버거운 상대가 아닐 겁니다.{nl}그를 다시 사로잡아 환원의 사슬과 함께 전이 틈새를 닫아야 합니다.{nl}여신 바카리네
QUEST_LV_0200_20151001_009281	Район 4, в который он сбежал, похож на лабиринт.{nl}Куполе Дайва, и вы могли бы последовать за ним.	그가 도망친 4구역은 미로와도 같은 곳. {nl}그대와 큐폴 다이바라면 능히 그를 쫓을 수 있습니다.여신 바카리네
QUEST_LV_0200_20151001_009282	Как Вакарин мог позволить Хауберку так буйствовать…{nl}Ну, я думаю, у нее должна быть причина для этого?	어째서 바카리네께선 하우벅이 활개치도록 가만히 두셨는지..{nl}분명 따로 생각이 있으시겠지요?	QUEST_LV_0200_20150401_005805	How come Vakarine left Hauberk to go crazy like that..{nl}I guess she must have a reason for that.	어째서 바카리네께선 하우벅이 활개치도록 가만히 두셨는지..{nl}분명 여신께선 따로 생각이 있으셨겠지요?	큐폴 알도나
QUEST_LV_0200_20151001_009283	Собор Оруармы - это место, где богиня восстанавливает свои силы.{nl}Вот почему он всегда должен быть в безопасности от демонов. Большое спасибо.	대회당은 여신께서 휴식을 취하는 공간이에요.{nl}그래서 항상 마족들로부터 안전해야 하지요. 정말 감사합니다.	QUEST_LV_0200_20150414_006663	The Grand Hall is where the Goddess recovers her powers. {nl}That is why it should always be safe from the demons. Thank you very much.	대회당은 여신께서 힘을 회복하시는 공간이에요.{nl}그래서 항상 마족들로부터 안전해야 하지요. 정말 감사합니다.	큐폴 지드로네
QUEST_LV_0200_20151001_009284	Пожалуйста, соберите осколки Знака Звезды, которые разбросаны рядом с Печатью Рады.{nl}Это поможет богине восстановить свои силы.	라다 봉인 주변에 흩뿌려진 별의 징표 조각을 다시 모아주세요.{nl}바카리네님께서 회복하시는데에 도움이 될 거예요.	QUEST_LV_0200_20150401_005818	Please collect the pieces of the symbol of the star that are scattered near Rada Seal.{nl}It will help the Goddess to recover her power.	라다 봉인 주변에 흩뿌려진 별의 징표 조각을 다시 모아주세요.{nl}여신께서 힘을 회복하시는데에 도움이 될 거예요.	큐폴 알도나
QUEST_LV_0200_20151001_009285	Благодарю.{nl}Если Вакарин выздоровеет, Дионис также должен выздороветь.	감사합니다. {nl}바카리네님이 회복되신다면 디오니스도 금방 기운을 차릴 거예요.	QUEST_LV_0200_20150401_005820	Thanks. {nl}If the Goddesses recover, Dionys would also recover.	감사합니다. {nl}여신께서 회복되신다면 디오니스도 금방 기운을 차릴 거예요.	큐폴 알도나
QUEST_LV_0200_20151001_009286	Итак, вы пришли, Спаситель.{nl}К счастью, Хауберк, похоже, не сосредоточен на том, чтобы покинуть это место через пространственную трещину.{nl}Это означает, что он еще недостаточно готов, чтобы выйти через пространственную трещину.{nl}	오셨군요, 구원자님.{nl}다행히도 하우벅은 전이 틈새를 통해 빠져나갈 생각은 없는 것 같아요.{nl}그 말은 즉, 전이 틈새를 빠져나가기엔 완전하지 않다는 것이겠죠.{nl}	QUEST_LV_0200_20150511_007016	Hauberk just passed by this way. {nl}I'm sure he's trying to escape through the goddess' barrier that isn't fully restored.	방금 이쪽으로 하우벅이 지나갔어요.{nl}미처 회복되지 못한 여신의 결계를 뚫고 탈출하려는 게 분명해요.{nl}	큐폴 다이바
QUEST_LV_0200_20151001_009287	Я думаю…{nl}Что, если бы он хотел сбежать, не пройдя сквозь пространственную трещину, с которой вы пришли сюда…{nl}Вам следует поискать трещину, которая ослабла из-за обрушения.{nl}	제 생각엔.. {nl}구원자님께서 수감소로 들어오신 곳과 전이 틈새를 통하지 않고 빠져나가려면요.{nl}붕괴로 인해 약해진 틈을 찾는 수 밖에 없어요.{nl}	QUEST_LV_0200_20150414_006670	The barrier in Nebilau Ruins is the weakest so they must be headed there. {nl}Follow it quickly.	네비라우 붕괴구의 결계가 가장 약하니까 아마 그 쪽으로 갔을 거예요.{nl}어서 쫓아가세요.	큐폴 다이바
QUEST_LV_0200_20151001_009288	Самая слабая часть сейчас находится в Разорванном районе Небилау, поэтому он, вероятно, пошел туда.{nl}Пожалуйста, следуйте за ним, я подготовлю следующий шаг, пока вы это сделаете.	네비라우 붕괴구가 가장 약하니까 아마 그 쪽으로 갔을 거예요.{nl}어서 쫓아가 주세요. 저는 다음 작전을 마련해 놓고 있을게요.큐폴 다이바
QUEST_LV_0200_20151001_009289	Даже если Хауберк что-то сделает, это может быть только внутри тюрьмы.{nl}Хауберк никогда не сможет сбежать.	아무리 하우벅이 발버둥쳐봤자 여긴 수감소 안입니다.{nl}저희들의 눈 밖으로 하우벅은 절대 도망칠 수 없습니다.	QUEST_LV_0200_20150401_005828	Even if Hauberk does something, this is inside the prison.{nl}As long as we are chasing, Hauberk could never run away.	아무리 하우벅이 발버둥쳐봤자 여긴 수감소 안입니다.{nl}저희가 쫓고 있는 한 하우벅은 절대 도망칠 수 없습니다.	큐폴 다이바
QUEST_LV_0200_20151001_009290	С помощью этой Призрачной сферы Ночной звезды мы можем легко найти Хауберка.{nl}Если Хауберк сдастся и попытается убежать, я сделаю все возможное, чтобы заблокировать его.{nl}	이 저녁별 분광구로 하우벅을 금방 찾을 수 있어요.{nl}하우벅이 포기하고 도망치려 한다면 제가 어떻게든 바로 막아서겠어요. {nl}	QUEST_LV_0200_20150401_005831	Please take this Night Star Spectral Orb.{nl}We can find Hauberk easily with this.	이 저녁별 분광구를 가져가세요.{nl}이걸로 하우벅을 금방 찾을 수 있어요.	큐폴 다이바
QUEST_LV_0200_20151001_009291	Я не смогу полностью остановить Хауберка, но…{nl}Я постараюсь выиграть как можно больше времени для Спасителя.	하우벅을 완전히 막을 순 없겠지만.. {nl}구원자님이 오실 때 까지 시간은 벌 수 있겠지요.큐폴 다이바
QUEST_LV_0200_20151001_009292	Если Хауберк сдастся и попытается убежать, я сделаю все возможное, чтобы остановить его.{nl}	하우벅이 포기하고 도망치려 한다면 제가 어떻게든 바로 막아서겠어요. {nl}	QUEST_LV_0200_20150401_005832	I will push Hauberk to the single path where he won't be able to run away.{nl}If he tries to give up and run away, I will block here.	하우벅이 도망칠 수 없는 외길로 몰아넣을 거예요.{nl}포기하고 도망치려 한다면 제가 이곳에서 바로 막아서지요.	큐폴 다이바
QUEST_LV_0200_20151001_009293	Я не смогу полностью остановить Хауберка, но…{nl}Я постараюсь выиграть как можно больше времени для Спасителя.	하우벅을 완전히 막을 순 없겠지만.. {nl}구원자님께서 오실 때 까지 시간은 벌 수 있겠지요.큐폴 다이바
QUEST_LV_0200_20151001_009294	К счастью, он не подошел ко мне и двинулся так, как я думал.{nl}С силой Спасителя мы, несомненно, сможем его поймать.	다행히 제 쪽으로 오지 않고 저희 생각대로 움직여 주는군요.{nl}분명 잡을 수 있어요. 구원자님의 힘만 있다면요.	QUEST_LV_0200_20150401_005833	Don't worry too much even if he runs away.{nl}It's going well as planned.	도망쳤다 해도 너무 걱정하지 마세요.{nl}계획대로 잘 되고 있으니까요.	큐폴 다이바
QUEST_LV_0200_20151001_009295	Это был успех!{nl}Если Хауберк может мыслить правильно, он должен знать, что ему некогда тратить время на победу над Сигитой.{nl}По крайней мере, будем надеяться, что это так.	성공이에요!{nl}하우벅이 생각이 있다면 시기타를 해치는 데 시간을 낭비하지 않을 겁니다.{nl}반드시 그러길 빌어야지요.	QUEST_LV_0200_20150401_005834	Success!{nl}No more escaping.	성공이에요!{nl}이젠 더 이상 도망치는 건 있을 수 없어요.	큐폴 시기타
QUEST_LV_0200_20151001_009296	Отсюда есть только один выход.{nl}Это будет наш отличный шанс поймать Хауберка.{nl}	이 앞으론 외길 뿐이에요.{nl}하우벅을 잡을 수 있는 절호의 기회이죠.{nl}	QUEST_LV_0200_20150401_005835	We will start the hunting from now on.{nl}There is only single path in front so Hauberk would resist hard.{nl}	이제부터 몰이사냥을 시작할게요.{nl}이 앞으론 외길 뿐이니 하우벅의 저항도 거셀 겁니다.{nl}	큐폴 다이바
QUEST_LV_0200_20151001_009297	Толкните Хауберка в одиночную камеру Галутина.{nl}Поскольку Куполе Сигита блокирует выход Хауберка с противоположной стороны, вам не нужно беспокоиться о его побеге.{nl}	구원자님께선 갈루틴 독실까지 하우벅을 몰아 넣으세요.{nl}반대편에선 큐폴 시기티가 하우벅의 퇴로를 막을 거예요.{nl}	QUEST_LV_0200_20150401_005836	Push Hauberk into Galutin Solitary Confinement.{nl}Don't worry since Sigita is blocking Hauberk's exit at the opposite side.	갈루틴 독실까지 하우벅을 몰아 넣으세요.{nl}반대편에서 시기타가 하우벅의 퇴로를 막고 있으니 걱정 마시고요.	큐폴 다이바
QUEST_LV_0200_20151001_009298	Молодец.{nl}Хауберк не знал, что делать, когда он увидел меня и убежал в одиночную камеру Галутина.{nl}	정말 잘해주셨어요.{nl}하우벅은 절 보자 당황한 듯이 갈루틴 독실로 도망쳤으니까요.{nl}	QUEST_LV_0200_20150401_005837	Hauberk is like a rat that has no where to hide.{nl}Tell me when you are ready to attack.	하우벅은 이제 궁지에 몰린 쥐나 다름 없어요.{nl}덮칠 준비가 되면 말씀해주세요.	큐폴 시기타
QUEST_LV_0200_20151001_009299	Теперь Хауберк сможет легко победить меня…{nl}Но, думаю, он думал, что Revelator сразу же его догонит.{nl}	지금의 하우벅이라면 저 하나쯤 손 쉽게 해치울 순 있겠지만.. {nl}곧바로 구원자님께 붙잡힐 거라 예상한 것이겠죠.{nl}큐폴 시기타
QUEST_LV_0200_20151001_009300	Однако путь отсюда - это тупик.{nl}Скажите, готовы ли вы поймать Хауберка.	하지만 이 앞은 막다른 곳입니다.{nl}구원자님께서 하우벅을 잡을 준비가 되면 말씀해 주세요.큐폴 시기타
QUEST_LV_0200_20151001_009301	Молодец.{nl}Мы сейчас соберем запечатанную мощную силу Хауберка и доставим ее Вакарину.{nl}	수고하셨어요.{nl}봉인된 하우벅과 강력한 힘은 저희가 거두어 바카리네님께 가져가겠습니다.{nl}	QUEST_LV_0200_20150414_006716	Thank you.{nl}We will collect the sealed Hauberk's power and take it to the goddess.{nl}	수고하셨어요.{nl}봉인된 하우벅과 강력한 힘은 저희가 거두어 여신께 가져가겠습니다.{nl}	큐폴 시기타
QUEST_LV_0200_20151001_009302	Вакарин готовится закрыть пространственную трещину вместе с другими Куполами.{nl}Она отчаянно ждет вас, поэтому, пожалуйста, поспешите в Пятый Район тюрьмы.	바카리네님께선 다른 큐폴들과 함께 전이 틈새를 닫을 준비를 하고 계세요.{nl}구원자님을 애타게 기다리고 계시니 어서 수감소 5구역으로 가세요.	QUEST_LV_0200_20150414_006717	The goddess is waiting for you to Prison District 5.{nl}Let's move on.	여신께서 수감소 5구역에서 그대를 기다리고 계세요.{nl}어서 가 보시지요.	큐폴 시기타
QUEST_LV_0200_20151001_009303	Мне нужны доказательства, чтобы показать Вакарину, что мы здесь сражаемся.{nl}Можете ли вы собрать Зуб демона на Градетском перекрестке?	바카리네님께선 반대하실지도 모르겠다만 본보기를 보일 필요가 있습니다.{nl}흐라데티의 교차로에서 마족의 이빨을 가져다 주실수 있을까요?	QUEST_LV_0200_20150414_006718	We don't know whether the goddess is okay or not, but we need to show them a sample.{nl}Can you collect the Demon's Tooth in Hradeti Crossroads?	여신께선 반대하실지도 모르겠다만 본보기를 보일 필요가 있습니다.{nl}흐라데티의 교차로에서 마족의 이빨을 가져다 주실수 있을까요?	큐폴 다이바
QUEST_LV_0200_20151001_009304	Спасибо.{nl}Пожалуйста, держите это в секрете от Вакарина.	감사합니다. {nl}바카리네님께는 비밀로 해주시고요.	QUEST_LV_0200_20150401_005849	Thank you. {nl}Please keep it a secret from the Goddess.	감사합니다. {nl}여신께는 비밀로 해주시고요.	큐폴 다이바
QUEST_LV_0200_20151001_009305	Спаситель.{nl}Мы очень ценим вашу помощь в остановке Хауберка.{nl}Благодаря вам, теперь мы можем закрыть пространственную трещину и вернуть дух Хауберка и Цепь реверсии.{nl}	구원자여. {nl}하우벅을 막아주신 것에 대해 고개 숙여 감사드립니다.{nl}그대 덕분에 전이 틈새를 닫을 하우벅의 영혼과 환원의 사슬을 되찾을 수 있었습니다.{nl}	QUEST_LV_0200_20150414_006719	Hauberk...{nl}His life is too pitiful, but it should be removed.{nl}	하우벅.. {nl}찢겨진 그의 운명은 참으로 안타까우나 그 또한 없어져야 할 마족입니다.{nl}	여신 바카리네
QUEST_LV_0200_20151001_009306	Пожалуйста, не испытывайте сочувствия к Хауберку.{nl}Печально, что его дух был разорван на части, но он тоже был демоном, которого нужно было уничтожить.{nl}	하우벅의 처지에 대해선 부디 동정심을 거두어 주십시오.{nl}찢겨진 그의 운명은 참으로 안타까우나 그 또한 없애야 할 마족입니다.{nl}	QUEST_LV_0200_20150414_006720	Well. We came here because of you.{nl}We are holding the ceremony to close the corrupted gap, you need to be completely ready.	자. 그대의 도움으로 우리가 여기까지 올 수 있었습니다.{nl}전이 틈새를 봉쇄할 의식을 진행할 터이니 준비를 단단히 하십시오.	여신 바카리네
QUEST_LV_0200_20151001_009307	Хорошо. Теперь это последний этап… Нам нужно закрыть пространственную трещину.{nl}С вашей помощью мы сможем предотвратить катастрофу в этой тюрьме.{nl}	자. 이제 마지막 단계.. 전이의 틈새를 닫아야 할 차례입니다.{nl}그대의 도움으로 아무런 힘도 없던 우리가 수감소의 커다란 재앙을 막을 수 있었습니다.{nl}여신 바카리네
QUEST_LV_0200_20151001_009308	Пожалуйста, приготовьтесь, так как мы скоро начнем ритуал по заделке пространственной трещины.	전이의 틈새를 봉쇄할 의식을 진행할 터이니 준비를 단단히 하십시오.여신 바카리네
QUEST_LV_0200_20151001_009309	Мы должны дополнить запечатанный дух Хауберка, добавив силу демонов поблизости.{nl}	봉인된 하우벅의 영혼에 마족의 힘을 보태 더 강력하게 만들 것입니다.{nl}	QUEST_LV_0200_20150401_005854	We will add the power of demons to the sealed soul of Houvberg. {nl}I will give you the Evening Star Rune but it is not in its complete state.	하우벅의 봉인된 영혼에 마족의 힘을 보태 더 강력하게 만들 것입니다.{nl}그대에게 저녁별 룬을 드릴 것이나 아직 완전한 상태가 아닙니다.{nl}	여신 바카리네
QUEST_LV_0200_20151001_009310	Я бы дал вам руну Вечерней звезды, но это объект, который использует мою силу…{nl}Это означает, что он еще не работает идеально.{nl}	그대에게 저녁별 룬을 드릴 것이나 본디 저의 힘을 사용해야 했던 물건..{nl}즉, 아직 완전한 상태가 아닙니다.{nl}	QUEST_LV_0200_20150401_005855	Please defeat the demons in Aushra Chapel and collect the traces of the crossover. {nl}It will be an important tool for collecting the power of demons.	아우슈라 예배소의 마족들을 처리하고 전이의 흔적을 모아 오십시오.{nl}앞으로 마족의 힘을 모을 중요할 매개체가 될 것입니다.	여신 바카리네
QUEST_LV_0200_20151001_009311	Победите демонов в Часовне Аусуры и соберите следы переноса.{nl}С их помощью я смогу восполнить мою недостающую силу и завершить Руну Вечерней Звезды.	아우슈라 예배소의 마족들을 처리하고 전이의 흔적을 모아 오십시오.{nl}이것으로 부족한 저의 힘을 대신해 저녁별 룬을 완전하게 만들 것입니다.여신 바카리네
QUEST_LV_0200_20151001_009312	Благодаря тебе я теперь могу выполнить Руну Вечерней Звезды.{nl}Возьми. Тебе нужно собрать души демонов с помощью руны Вечерней звезды.{nl}{nl}	그대가 수고해 준 덕분에 저녁별 룬을 완성할 수 있었습니다.{nl}받으세요. 저녁별 룬으로 마족의 영혼을 모으셔야 합니다.{nl}{nl}	QUEST_LV_0200_20150414_006721	Receive this Evening Star Rune.{nl}Let's collect the Demon's Soul to use it and collected corrupted gap.	제가 드리는 저녁별 룬을 받으세요.{nl}그대가 모아온 전이 흔적과 이걸 이용하여 마족들의 영혼을 모아 보지요.	여신 바카리네
QUEST_LV_0200_20151001_009313	Вы должны отправиться в Ланкинский Разделительный Район, Разбитый Район Исисула и Изолирующий Район Хехмастар.{nl}Я пошлю Куполес, как только вы подавите там демонов, используя силу Руны Вечерней Звезды.	그대는 랑키네 분리구, 이쉬슐라 붕괴구, 엣메스타 격리구로 가십시오.{nl}그 곳의 마족에게 저녁별 룬의 힘을 걸어 제압하면 큐폴들을 보내겠습니다.{nl}	QUEST_LV_0200_20150414_006722	You have to go to the Rankina Isolation District, Ishsula Broken District and Hehmastar Isolation District.{nl}If you defeat the demon by using the Evening Star Rune, we can save the soul.	그대는 랑키네 분리구, 이쉬슐라 붕괴구, 엣메스타 격리구로 가십시오.{nl}그 곳의 마족들에게 저녁별의 룬을 사용한 뒤 제압하면 저희가 그 영혼을 거두겠습니다.	여신 바카리네
QUEST_LV_0200_20151001_009314	Как только вы это сделаете, они получат души, необходимые для закрытия пространственной трещины.{nl}{nl}	그리하면 그녀들이 전이의 틈새를 막는데 필요한 영혼을 거둘 것입니다.{nl}{nl}여신 바카리네
QUEST_LV_0200_20151001_009315	Это место, куда изначально людям не разрешалось входить.{nl}Но вы особенный, поэтому Вакарин дал вам разрешение.	여긴 원래 인간들이 들어와선 안될 장소이지요. {nl}하지만 계시자님은 특별히 바카리네님께서 허락하셨어요.	QUEST_LV_0200_20150414_006725	It's not allowed for humans to enter. {nl}But, you are allowed by the goddess.	여긴 원래 인간들이 들어와선 안될 장소이지요. {nl}하지만 계시자님은 특별히 여신께서 허락하셨어요.	큐폴 아우드라
QUEST_LV_0200_20151001_009316	Вакарине скоро выздоровеет…{nl}Она уже устала и ослабла из-за битвы с Нуаэле.	바카리네님께서 어서 회복하셔야 할 텐데요..{nl}안그래도 힘드신데 누아엘레와의 전투로 많이 약해지셨어요.	QUEST_LV_0200_20150414_006730	The goddess' barrier should be complete if Vakarine recovers quickly.{nl}Until then, the corrupted gap appears continuously.	바카리네께서 어서 회복하셔야 여신의 결계가 완전해질 겁니다.{nl}그때까진 계속해서 전이 틈새가 생기겠지요.	큐폴 지드로네
QUEST_LV_0200_20151001_009317	Эта тюрьма была создана богиней Аусрин.{nl}Вакарин периодически приходит сюда и управляет этим местом.	이 수감소는 아우슈리네 여신께서 만드셨습니다.{nl}바카리네님께선 주기적으로 이 곳에 들러 관리하시지요.	QUEST_LV_0200_20150414_006731	This prison has been made by Goddess Ausrine.{nl}Vakarine regularly visited to check here.	이 수감소는 아우슈리네 여신께서 만드셨습니다.{nl}바카리네님께선 주기적으로 이 곳에 들러 관리하시는 것이지요.	큐폴 지드로네
QUEST_LV_0200_20151001_009318	О… мой бедный Дионис… Мне очень жаль, что я взвалил на вас такую ​​большую ношу.	가여운 디오니스.. 큰 짐을 지워 정말 미안하구나.	QUEST_LV_0200_20150414_006734	Oh..my poor Dionys..I'm so sorry for giving you this big burden.	나의 가여운 디오니스.. 큰 짐을 지워 정말 미안하구나.	여신 바카리네
QUEST_LV_0200_20151001_009319	Мы не могли контролировать всех демонов в тюрьме.{nl}Вот почему мы выгравировали на них жетоны печати, чтобы они не могли высвободить свою силу.	수감소의 모든 마족들을 곁에서 감시할 순 없었습니다.{nl}그렇기에 그들의 힘이 발현하지 못하도록 봉인의 증표를 새겨두었습니다.	QUEST_LV_0200_20150406_006309	We weren't able to monitor all the demons in the prision.{nl}That's why we engraved the symbol of the seal on them so they can't be found.	수감소의 모든 마족들을 곁에서 감시할 순 없었습니다.{nl}그렇기에 그들의 힘이 발현되지 못하도록 봉인의 증표를 새겨두었습니다.	여신 바카리네
QUEST_LV_0200_20151001_009320	Благодаря вашим усилиям дух Хауберка стал достаточно сильным, чтобы справиться с пространственной трещиной.{nl}Цепь реверсии также готова.{nl}	그대가 수고해주신 덕분에 하우벅의 영혼은 전이 틈새를 감당할 수 있을 만큼 강력해졌습니다.{nl}환원의 사슬도 준비를 마쳤지요.{nl}	QUEST_LV_0200_20150414_006741	Good job.{nl}Let's use this symbol to increase Hauberk's soul.	잘하셨습니다.{nl}이 징표들로 봉인된 하우벅의 영혼을 더 크게 키워 보도록 하지요.	여신 바카리네
QUEST_LV_0200_20151001_009321	Теперь закроем размерную трещину.	이제 전이 틈새를 닫겠습니다.여신 바카리네
QUEST_LV_0200_20151001_009322	Куполес и я сделаем все возможное, чтобы закрыть пространственную трещину.{nl}Это наш единственный шанс… если мы проиграем на этот раз, у нас может не быть другого шанса.{nl}	이제부터 저와 큐폴들은 전이 틈새를 봉쇄하는데에 모든 집중을 쏟을 것입니다.{nl}단 한 번의 기회.. 이번에 실패한다면 다음을 기약할 수 없습니다.{nl}	QUEST_LV_0200_20150414_006742	It's almost ready.{nl}I ask you to please do it, while me and Kupole are closing the corrupted gap.	모든 준비는 끝났습니다.{nl}저와 큐폴들이 전이 틈새를 봉쇄할 동안 잘 부탁드리겠습니다.	여신 바카리네
QUEST_LV_0200_20151001_009323	Повторяю, это последний шанс для демонов нанести ответный удар.{nl}Пока пространственная трещина полностью не закроется, пожалуйста, сопротивляйтесь их атакам.{nl}{nl}	다시 말해 마족들에겐 마지막 반격의 기회이지요.{nl}그대는 전이 틈새 봉쇄를 마칠 때까지 그들의 공격을 막아 주십시오.{nl}{nl}여신 바카리네
QUEST_LV_0200_20151001_009324	Все катастрофы, обрушившиеся на эту землю, теперь позади.{nl}Спаситель. Мы всем вам обязаны.{nl}	이 곳에 뿌리내린 재앙은 모두 걷어졌습니다.{nl}구원자여. 이 모든 공은 그대에게 있습니다. {nl}	QUEST_LV_0200_20150401_005872	The disaster that took its root in the prison is now gone. {nl}All credits belong to you, Revelator. {nl}	수감소에 뿌리내린 재앙은 모두 걷어졌습니다.{nl}구원자여. 이 모든 공은 그대에게 있습니다. {nl}	여신 바카리네
QUEST_LV_0200_20151001_009325	Все проистекало из нашего высокомерия.{nl}Когда Лайма предупредила нас, что настанет время трудностей…{nl}Я так сильно поверил в себя, что не мог понять, что она имела в виду.{nl}	이 모든 건 우리의 오만에서 비롯된 일입니다.{nl}라이마는 우리들에게 고난의 때가 올 거라고 경고했을 때..{nl}제 능력을 과신했기 때문에 그 말의 의미를 이해할 수 없었지요.{nl}	QUEST_LV_0200_20150401_005873	I plan to stay here for some time. {nl}If you need the power of a goddess, you may come anytime for help.	나는 당분간 이 곳에 머무려 합니다.{nl}여신의 힘이 필요하다면 언제든 찾아와 도움을 구하십시오.	여신 바카리네
QUEST_LV_0200_20151001_009326	Но ваша священная энергия говорит мне все.{nl}Я верю, что именно ваша сила, а не мы, спасет этот мир.{nl}	하지만 지금은 그대의 성스러운 기운이 내게 모든 것을 말해주고 있습니다.{nl}우리가 아닌, 그대의 힘이 이 세계를 구원할 수 있을 것이라고요.{nl}여신 바카리네
QUEST_LV_0200_20151001_009327	Из-за обстоятельств я ничем не могу помочь.{nl}Но я останусь здесь и сделаю все возможное до Дня спасения.{nl}	저는 현재로선 아무런 도움이 될 수 없는 처지입니다.{nl}허나 이곳에 남아서 구원의 날까지 제가 할 수 있는 모든 노력을 기울일 것입니다.{nl}여신 바카리네
QUEST_LV_0200_20151001_009328	Однако есть еще одна вещь.{nl}Размерная трещина, которая была выгравирована здесь, также выгравирована в разных местах вашего мира.{nl}Самым опасным местом среди них сейчас является ферма Дина Би ..{nl}	한 가지 더.{nl}이 곳에 새겨진 전이의 틈새는 세계 곳곳에도 새겨지고 있습니다.{nl}그 중 가장 위험한 곳은 다이나 양봉지.. {nl}여신 바카리네
QUEST_LV_0200_20151001_009329	Моя сестра Аустея одна ведет тяжелую битву.{nl}Пожалуйста, помогите ей, как вы помогли мне.	나의 자매인 아우스테야가 홀로 힘겨운 싸움을 벌이고 있을 터입니다.{nl}부디 그녀게도 그대가 절 도왔던 것처럼 그 힘을 보태 주십시오.여신 바카리네
QUEST_LV_0200_20151001_009330	Как только Дионис выздоровеет, Вакарин почувствует меньшее давление.	디오니스만 회복된다면 바카리네님께서도 부담을 더실 수 있을 거예요.	QUEST_LV_0200_20150414_006748	If Dionys recovers completely, the goddess can reduce the burden.	디오니스만 회복된다면 여신께서도 부담을 더실 수 있을 거예요.	큐폴 시기타
QUEST_LV_0200_20151001_009331	Спасибо.{nl}Если Дионис полностью выздоровеет, все будет благодаря тебе.	감사합니다.{nl}디오니스가 온전히 회복한다면 모두 구원자님 덕분이에요.	QUEST_LV_0200_20150428_006940	Thank you. {nl}If Dionys recovers well, it will be all thanks to you.	감사합니다.{nl}디오니스가 온전히 회복한다면 모두 그대 덕분이에요.	큐폴 시기타
QUEST_LV_0200_20151001_009332	Сможете ли вы справиться с пространственной трещиной в Изоляционном районе Гавары?	구원자님께서 가바라 고립구의 전이 틈새를 맡아 주실 수 없을까요?	QUEST_LV_0200_20150414_006751	Can you deal with the corrupted gap in Gavara Isolation District?	그대가 가바라 고립구의 전이 틈새를 맡아 주실 수 없을까요?	큐폴 시기타
QUEST_LV_0200_20151001_009333	Подожди минуту.{nl}Рыцари Калисса сказали нам, что важная вещь находится глубоко внутри крепости.{nl}	잠깐만 기다려봐. {nl}칼리스 기사단은 중요한 건 전부 요새의 깊숙한 곳에 있다고 말했어.{nl}	QUEST_LV_0200_20150714_007654	Let's see	어디 보자	도굴꾼 아만다
QUEST_LV_0200_20151001_009334	Нам нужно углубиться внутрь, чтобы начать работать над тем, что мы оба ищем.{nl}Я попытаюсь найти зону форпоста с этим моноклем.{nl}	내가 찾는 것도 그렇고 네가 찾는 것도 아마 더 안쪽으로 가야 작업을 시작할 수 있을 거야.{nl}일단 이 모노클로 전초구역을 확인해볼게. {nl}도굴꾼 아만다
QUEST_LV_0200_20151001_009335	Хм… в этом нет ничего особенного.{nl}Вместо этого здесь много охранников Королевской армии.	흠.. 별 건 없어.{nl}대신 왕국군 경비병들이 많아.	QUEST_LV_0200_20150714_007655	Day by day	나날이	도굴꾼 아만다
QUEST_LV_0200_20151001_009336	Слишком много охранников Королевской Армии, чтобы заходить дальше внутрь.	깊숙히 들어가기엔 왕국군 경비병의 수가 너무 많아.도굴꾼 아만다
QUEST_LV_0200_20151001_009337	Нам следует заманить охранников Королевской армии, чтобы проникнуть глубже.{nl}Хмм…{nl}	왕국군을 유인해야 더 깊숙히 들어가 볼 텐데.{nl}흠..{nl}도굴꾼 아만다
QUEST_LV_0200_20151001_009338	Это правильно. У нас есть громкие бомбы!	맞다. 폭음탄이 있었지!도굴꾼 아만다
